Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2020-01-01,80.42974090576172,80.59430187381626,78.26985797239968,78.3932828834708,13620373
1,2020-01-02,80.26518249511719,80.92343201411038,79.95662855621795,80.45031709047306,5673692
2,2020-01-03,79.40122985839844,80.14175702311194,78.68126514264861,79.91548638390515,7358268
3,2020-01-06,79.44235229492188,79.79204778831442,77.34418491460607,78.98981109410273,7355290
4,2020-01-07,78.86639404296875,80.01833192515203,78.64012342006062,79.46293380160294,14023712
5,2020-01-08,78.39328002929688,78.55784099136002,77.69388896547838,78.2904287305024,9451757
6,2020-01-09,79.38065338134766,79.56578795585737,78.64012624338925,78.96924817580627,7714854
7,2020-01-10,79.05152893066406,79.68920474692331,78.57840849533102,79.68920474692331,4118638
8,2020-01-13,80.1417465209961,80.2240297863106,78.90753102151683,79.15437523742062,27682638
9,2020-01-14,80.32689666748047,80.77943797441864,79.91549142114337,80.14176207461246,5994314
10,2020-01-15,79.91548919677734,80.55316507883448,79.36009101367306,80.38860410088817,7114590
11,2020-01-16,80.82057189941406,81.33482840824124,79.85376854681094,79.85376854681094,8552344
12,2020-01-17,81.21141052246094,81.39653952090704,79.66864096854172,80.61487072959603,4698386
13,2020-01-20,84.19409942626953,86.80652368769876,83.61813323462572,84.0912481213317,49337827
14,2020-01-21,82.52789306640625,84.05009439252994,81.86964927352645,83.78268215416757,17283910
15,2020-01-22,82.30162811279297,83.24785781507686,79.4217917910107,82.48676267978068,56787054
16,2020-01-23,83.08329010009766,85.32545042890673,79.77148083134544,80.94398664017184,226059260
17,2020-01-24,81.02628326416016,81.51997179803192,79.91549243300996,80.82058063838707,16151679
18,2020-01-27,79.40122985839844,80.82057452077271,79.1132439720985,80.80000649176861,8213919
19,2020-01-28,78.35213470458984,79.40122125092174,77.79673660124236,79.40122125092174,9174575
20,2020-01-29,79.15438079833984,79.7303469558862,77.85844996881043,78.35213843530164,17600091
21,2020-01-30,79.97718811035156,80.32688362898438,78.74297257167564,79.15437775123428,26386034
22,2020-01-31,76.8710708618164,80.42972990705871,76.15111184249632,80.34744664426347,63986362
23,2020-02-03,77.07677459716797,77.75559199529252,73.00386462838108,74.4232090826343,16329297
24,2020-02-04,79.95661926269531,80.34745643855621,77.34419510098778,77.48818803841232,14207381
25,2020-02-05,77.89960479736328,80.51202934657361,77.34420657350896,79.85377980645148,14550344
26,2020-02-06,79.3600845336914,79.70978007079901,77.61161242819354,78.14643695785917,9175642
27,2020-02-07,78.3315658569336,79.31893715251533,77.57046517365859,79.31893715251533,18058457
28,2020-02-10,76.76823425292969,78.6195577994763,76.00713345667462,78.45499682245806,30471811
29,2020-02-11,77.9613037109375,78.66069479704537,77.38533753534058,77.54989850264823,32456571
30,2020-02-12,77.89960479736328,78.94869157131946,77.57048281732273,78.18759071492954,16386952
31,2020-02-13,78.39328002929688,78.64012426241165,77.22077410703179,77.67332093773553,18581113
32,2020-02-14,75.73970794677734,78.74296896814033,75.45172210224952,78.37269985945038,23830630
33,2020-02-17,75.53400421142578,76.43909778321098,74.27922072239768,76.10997031163475,17670292
34,2020-02-18,76.1099853515625,76.66538353581628,74.40265473925993,75.12261390180059,30879880
35,2020-02-19,77.13848876953125,77.3236233344178,75.28716544082538,76.52138099329595,22313738
36,2020-02-20,77.85845184326172,78.45499162296369,76.48024886953684,77.13849273398564,25907657
37,2020-02-24,76.56253051757812,77.83788783589945,76.13055726171405,77.75560455857271,14921452
38,2020-02-25,76.58311462402344,77.2207905805688,76.25398704964415,76.56254101185151,17807428
39,2020-02-26,76.45967102050781,77.50875758386223,75.67800228979897,76.10997549938968,17113656
40,2020-02-27,76.70651245117188,77.22076891053791,74.58777695459179,76.15111435904862,28472046
41,2020-02-28,74.6700668334961,76.23341007328257,73.70326341600351,75.4723092731271,28010970
42,2020-03-02,75.49288177490234,77.01508346538567,74.77292257157339,75.59573308966363,19540018
